boss,loot_name,loot_url,type,bis,spec1,spec2,priority,notes
Gruul le Tue-dragon,Hache des seigneurs gronns,https://www.wowhead.com/tbc/fr/item=28794,Arme 2M - Hache,,Physical DPS,Tank,Arms > PRet > Chasseur > Amélio,
Gruul le Tue-dragon,Lame-magus Saignegueule,https://www.wowhead.com/tbc/fr/item=28802,Arme 1M - Épée,BP2,"PPal/Lock
Mage/Ret",Caster DPS/ Heal,PPal > Lock > Mage > PRet,"PPal BP2, Lock BP1"
Gruul le Tue-dragon,Collerette de Cho'gall,https://www.wowhead.com/tbc/fr/item=28804,Tête - Tissu,,Caster DPS,Heal,SP > Mage/Boomy,
Gruul le Tue-dragon,Capuche du souffle de la nature,https://www.wowhead.com/tbc/fr/item=28803,Tête - Cuir,,Heal,Caster DPS,RDru > HPal > Rcham,
Gruul le Tue-dragon,Trophée Epine-de-dragon,https://www.wowhead.com/tbc/fr/item=28830,Bijou,BP5,Physical DPS/ Tank,Physical DPS/ Tank,"Chasseur/PRet/Rogue/
Amélio/Fury/Arms > 
Cat/Bear/PWar > PPal","Hunt BP5, Ret BP5, Rog BP5, 
Enh BP5, Fury/Arms BP5, 
Feral BP1, PWar BP1 (DFT 2.0)"
Gruul le Tue-dragon,Oeil de Gruul,https://www.wowhead.com/tbc/fr/item=28823,Bijou,BP2,Heal,Caster DPS,RDru > HPal/HPri/Rcham,"RDru BP2, HPal BP1, HPRiest BP1, RSha BP1"
Gruul le Tue-dragon,Gantelets de la perfection martiale,https://www.wowhead.com/tbc/fr/item=28824,Mains - Plaques,BP3,Melee,Tank,Fury/Arms > PRet,"Fury BP3, Arms BP3"
Gruul le Tue-dragon,Gantelets du tueur de dragon,https://www.wowhead.com/tbc/fr/item=28827,Mains - Mailles,BP1,Hunt/Enh,Physical DPS/ Tank,Chasseur > Amélio > PRet,Hunt BP1
Gruul le Tue-dragon,Ceinturon cousu de Gronn,https://www.wowhead.com/tbc/fr/item=28828,Taille - Cuir,BP1,Physical DPS/ Bear,Physical DPS/ Tank,Rogue/Amélio > Feral > Fury/Arms > Chasseur > PRet,"Rog BP1, Enh BP1"
Gruul le Tue-dragon,Shuriken de négation,https://www.wowhead.com/tbc/fr/item=28826,Arme de jet,,Rogue/PWar,Physical DPS/ Tank,Rogue/PWar > Fury/Arms,
Gruul le Tue-dragon,Dent de Gruul,https://www.wowhead.com/tbc/fr/item=28822,Cou - Collier,BP2,"Boom/RDru
RSha/HPri
Mage/HPal",Caster DPS/ Heal,"RDru/Rcham/HPri > Boomy > 
HPal> Mage > Lock/SP","Boom BP2, RDru BP2, RSha BP2, HPri BP1"
Gruul le Tue-dragon,Bottes des Cisailles,https://www.wowhead.com/tbc/fr/item=28810,Pieds - Mailles,BP2,Ele Shaman,Shaman/Paladin,Elem chaman,Ele BP2
Gruul le Tue-dragon,Chevalière terrestre,https://www.wowhead.com/tbc/fr/item=31750,Quête,,ALL,,,
Gruul le Tue-dragon,Jambières du champion déchu,https://www.wowhead.com/tbc/fr/item=29766,Jeton d'armure,BP1,"Rogue/Paladin
Ele/RSha","Rogue/Paladin
Shaman",Rogue > PPal > PRet/Elem > HPal/Rcham,"Rog BP1
T4 - Paladin/Rogue/Shaman"
Gruul le Tue-dragon,Jambières du défenseur déchu,https://www.wowhead.com/tbc/fr/item=29767,Jeton d'armure,BP1,"Warrior/Bear
Shadow/RDru","Warrior/
Priest/Druid",PWar > RDru > Bear > SP/Fury/Arms,"PWar BP1, RDru BP1
T4- Warrior/Priest/Druid"
Gruul le Tue-dragon,Jambières du héros déchu,https://www.wowhead.com/tbc/fr/item=29765,Jeton d'armure,BP1,"Lock/Mage/
Hunter",,Lock > Mage > Chasseur,"Lock BP1
T4- Hunter/Mage/Warlock"
Seigneur Funeste Kazzak,Ancienne cape ensorcelée des Bien-nés,https://www.wowhead.com/tbc/fr/item=30735,Dos,BP1,Caster DPS,Heal,"SP > Boomy/Lock >
Elem > Mage",Shadow BP1
Seigneur Funeste Kazzak,Bâton de vie de l'Exodar,https://www.wowhead.com/tbc/fr/item=30732,Arme 2M - Bâton,BP1,Heal,Caster DPS,RDru > Rcham > HPri > HPal,RDru BP1
Seigneur Funeste Kazzak,Bottes sauvages feuille-d'or,https://www.wowhead.com/tbc/fr/item=30737,Pieds - Cuir,BP2,Heal,Caster DPS,HPal > Rcham > RDru,"HPal BP2, RSha BP1"
Seigneur Funeste Kazzak,Fin de l'espoir,https://www.wowhead.com/tbc/fr/item=30733,Arme 1M - Épée,BP1,Melee,Physical DPS/ Tank,Rogue/Fury > Chasseur > Arms,"Rog BP1, Fury BP1"
Seigneur Funeste Kazzak,Jambières du septième cercle,https://www.wowhead.com/tbc/fr/item=30734,Jambes - Tissu,BP3,Caster DPS,Heal,SP/Lock/Elem > Boomy > Mage,"Shadow BP3, Ele BP3, Lock BP3, Boom BP1"
Seigneur Funeste Kazzak,Anneau de la lumière fluide,https://www.wowhead.com/tbc/fr/item=30736,Doigt - Anneau,BP5,Heal,Caster DPS,HPal/Rcham > HPri/RDru,"HPal BP5, HPri BP2, RSha BP5, RDru BP1"
Seigneur Funeste Kazzak,Anneau de réciprocité,https://www.wowhead.com/tbc/fr/item=30738,Doigt - Anneau,BP3,Physical DPS,Tank,"PRet/Rogue/Fury/Arms
Chasseur/Cat/Amélio","Cat BP1, Hunt BP1, Ret BP3, 
Rog BP2, Enh BP1, 
Fury BP1, Arms BP1"
Seigneur Funeste Kazzak,Plaques d'épaule d'éventreur de démons,https://www.wowhead.com/tbc/fr/item=30740,Épaules - Plaques,BP5,Melee,Tank,Fury/Arms > PRet,"Fury BP5, Arms BP5, Ret BP3"
Seigneur Funeste Kazzak,Grèves du tireur d'élite en écailles,https://www.wowhead.com/tbc/fr/item=30739,Jambes - Mailles,BP1,Physical DPS,Tank,Chasseur/PRet/Amélio/Fury/Arms,"Hunt BP1, Ret BP1, Enh BP1, 
Fury BP1, Arms BP1"
Seigneur Funeste Kazzak,Poignes de bataille cloutées de topazes,https://www.wowhead.com/tbc/fr/item=30741,Mains - Plaques,,Tank,Melee,Prot Paladin/Prot Warrior,
Marche-Funeste,Gants de la colère étincelante,https://www.wowhead.com/tbc/fr/item=30725,Mains - Tissu,BP5,Caster DPS,Heal,"Lock > Elem > Mage > 
Boomy/SP","Lock BP5, Ele BP2, Mage BP1"
Marche-Funeste,Charme de présence archaïque,https://www.wowhead.com/tbc/fr/item=30726,Cou - Collier,BP2,Heal,Caster DPS,HPal > RDru > HPri/Rcham,HPal BP2
Marche-Funeste,Carabine longue lame-canon,https://www.wowhead.com/tbc/fr/item=30724,Fusil,BP4,"Hunter/Rogue/
Warrior",Physical DPS/ Tank,"Chasseur > Fury/Arms > 
Rogue > PWar","Fury BP4, Arms BP4, Rog BP2, 
PWar BP1, Hunt BP1"
Marche-Funeste,Cape de bataille fer-noir,https://www.wowhead.com/tbc/fr/item=30729,Dos,BP2,Physical DPS,Tank,PRet > Amélio > Rogue/Cat/Chasseur > Fury/Arms,"Ret BP2, Enh BP1"
Marche-Funeste,Déchireuse du nexus de l'Ethereum,https://www.wowhead.com/tbc/fr/item=30722,Arme 2M - Hache,BP2,Ret/Arms,Physical DPS/ Tank,PRet > Arms > Chasseur/Amélio,"Ret BP2, Arms BP2"
Marche-Funeste,Ventaille de la veille interminable,https://www.wowhead.com/tbc/fr/item=30731,Tête - Plaques,,Tank,Physical DPS,Prot Paladin/Prot Warrior,
Marche-Funeste,Heaume-sonde des profondeurs,https://www.wowhead.com/tbc/fr/item=30728,Tête - Mailles,BP1,RSha/HPal,Shaman/Paladin,Rcham > HPal,RSha BP1
Marche-Funeste,Chausses dorées de bénédiction,https://www.wowhead.com/tbc/fr/item=30727,Jambes - Tissu,BP2,Heal,Caster DPS,HPal/HPri > RDru > Rcham,"HPal BP2, HPri BP2, RDru BP1"
Marche-Funeste,Serre de la tempête,https://www.wowhead.com/tbc/fr/item=30723,Arme 1M - Dague,BP2,Caster DPS,Heal,Lock/Mage > Boomy/SP/Elem,"Mage BP2, Lock BP2, Boom BP1, 
Shadow BP1, Ele BP1"
Marche-Funeste,Tunique en tisse-terreur,https://www.wowhead.com/tbc/fr/item=30730,Torse - Cuir,BP1,Physical DPS,Tank,Cat/Chasseur/Amélio/Fury/Arms > Rogue,"Cat BP1, Hunt BP1, Enh BP1, 
Fury BP1, Arms BP1"
